CID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,Score
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3
2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,7
3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,7
4,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,4
5,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,8
6,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,4
7,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,5
8,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,6
9,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,3
10,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,3
11,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,4
12,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,5
13,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,4
14,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,4
15,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,6
16,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,4
17,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,5
18,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,8
19,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,4
20,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3
21,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,4
22,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,6
23,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,3
24,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,5
25,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2
26,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3
27,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,4
28,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,8
29,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,4
30,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,5
31,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,7
32,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,5
33,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,9
34,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,5
35,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,6
36,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,3
37,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,4
38,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,5
39,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,6
40,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,7
41,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,8
42,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,5
43,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,6
44,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,5
45,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,5
46,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2
47,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,4
48,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,6
49,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,7
50,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,5
51,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,4
52,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,6
53,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,4
54,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,3
55,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,7
56,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,6
57,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,6
58,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,5
59,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,5
